Year,QTR,Region,Crown_Court_Centre,REC_TYPE_pub,newofftype_pub,ho_code,N_receipts,N_receipts_Exc_BW,N_outstanding
2017,3,London,Blackfriars,2. ST (IND),04. Theft Offences,04910,1,1,
2017,3,London,Blackfriars,2. ST (IND),05. Criminal damage and arson,05601,3,3,
2017,3,London,Blackfriars,2. ST (IND),05. Criminal damage and arson,05602,1,1,
2017,3,London,Blackfriars,2. ST (IND),06. Drug offences,09230,3,3,
2017,3,London,Blackfriars,2. ST (IND),06. Drug offences,09231,1,1,
2017,3,London,Blackfriars,2. ST (IND),06. Drug offences,09251,1,1,
2017,3,London,Blackfriars,2. ST (IND),06. Drug offences,09270,2,2,
2017,3,London,Blackfriars,2. ST (IND),07. Possession of weapons,08172,1,1,
2017,3,London,Blackfriars,2. ST (IND),08. Public order offences,06801,1,1,
2017,3,London,Blackfriars,2. ST (IND),08. Public order offences,06802,1,1,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,03801,5,5,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,03803,1,1,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,06138,6,6,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,06902,4,4,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,07810,2,2,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,07901,1,1,
2017,3,London,Blackfriars,2. ST (IND),09. Miscellaneous crimes against society,09999,1,1,
2017,3,London,Blackfriars,2. ST (IND),10. Fraud Offences,05340,6,6,
2017,3,London,Blackfriars,2. ST (IND),15. Unknown,,0,0,
2017,3,London,Blackfriars,3. CS (SENT),13. Committed for sentence,S0000,104,104,
2017,3,London,Blackfriars,4. A (APP),14. Appeals,A0000,17,17,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00408,-1,-1,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00514,3,3,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00801,3,3,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00806,5,5,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00830,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00857,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00866,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,00872,2,1,
2017,3,London,Central Criminal Court,1. CT (TEW),01. Violence against the person,01103,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,01715,2,1,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,01908,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,02005,3,3,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,02119,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,02219,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),02. Sexual offences,08801,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),04. Theft Offences,02803,0,0,
2017,3,London,Central Criminal Court,1. CT (TEW),04. Theft Offences,03702,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),05. Criminal damage and arson,05800,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),05. Criminal damage and arson,05805,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09204,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09231,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09241,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09245,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09270,5,5,
2017,3,London,Central Criminal Court,1. CT (TEW),06. Drug offences,09271,3,2,
2017,3,London,Central Criminal Court,1. CT (TEW),07. Possession of weapons,00826,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),07. Possession of weapons,08103,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),08. Public order offences,06654,-1,-1,
2017,3,London,Central Criminal Court,1. CT (TEW),08. Public order offences,06699,-2,-2,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,05402,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,07810,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,07820,0,0,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,07902,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,08408,2,2,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,08602,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,08610,3,3,
2017,3,London,Central Criminal Court,1. CT (TEW),09. Miscellaneous crimes against society,09874,2,2,
2017,3,London,Central Criminal Court,1. CT (TEW),10. Fraud Offences,05301,1,1,
2017,3,London,Central Criminal Court,1. CT (TEW),15. Unknown,,7,7,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,00101,25,25,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,00200,-1,-1,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,00401,3,3,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,00404,4,4,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,00501,12,11,
2017,3,London,Central Criminal Court,2. ST (IND),01. Violence against the person,01301,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),02. Sexual offences,01907,2,1,
2017,3,London,Central Criminal Court,2. ST (IND),02. Sexual offences,01908,2,2,
2017,3,London,Central Criminal Court,2. ST (IND),02. Sexual offences,01911,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),03. Robbery,03401,5,5,
2017,3,London,Central Criminal Court,2. ST (IND),04. Theft Offences,02803,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),05. Criminal damage and arson,05601,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),05. Criminal damage and arson,05800,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),06. Drug offences,09230,2,2,
2017,3,London,Central Criminal Court,2. ST (IND),07. Possession of weapons,00823,2,2,
2017,3,London,Central Criminal Court,2. ST (IND),08. Public order offences,06659,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),08. Public order offences,06699,0,0,
2017,3,London,Central Criminal Court,2. ST (IND),09. Miscellaneous crimes against society,00909,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),09. Miscellaneous crimes against society,06126,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),09. Miscellaneous crimes against society,07810,2,2,
2017,3,London,Central Criminal Court,2. ST (IND),09. Miscellaneous crimes against society,09184,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),09. Miscellaneous crimes against society,09930,1,1,
2017,3,London,Central Criminal Court,2. ST (IND),15. Unknown,,-5,-5,
2017,3,London,Central Criminal Court,3. CS (SENT),13. Committed for sentence,S0000,22,22,
2017,3,London,Central Criminal Court,4. A (APP),14. Appeals,A0000,26,26,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00301,6,5,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00412,1,1,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00501,1,1,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00801,5,5,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00806,12,12,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00820,1,1,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00830,1,1,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00831,5,4,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00858,1,1,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00867,3,3,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,00872,1,0,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,01103,2,2,
2017,3,London,Croydon,1. CT (TEW),01. Violence against the person,01302,1,1,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,01715,1,1,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,01917,1,1,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,02005,5,5,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,02006,3,3,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,02112,1,1,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,07101,1,1,
2017,3,London,Croydon,1. CT (TEW),02. Sexual offences,08809,1,1,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,02803,8,8,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,03002,3,2,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,03900,4,4,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,04100,2,2,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,04510,1,0,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,04600,4,3,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,04801,1,1,
2017,3,London,Croydon,1. CT (TEW),04. Theft Offences,04910,5,4,
2017,3,London,Croydon,1. CT (TEW),05. Criminal damage and arson,05601,1,1,
2017,3,London,Croydon,1. CT (TEW),05. Criminal damage and arson,05800,1,1,
2017,3,London,Croydon,1. CT (TEW),05. Criminal damage and arson,05805,2,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09203,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09204,3,3,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09216,2,2,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09221,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09230,4,4,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09241,2,2,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09261,3,3,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09265,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09270,5,5,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09271,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09274,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09279,1,1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09281,-1,-1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09282,-1,-1,
2017,3,London,Croydon,1. CT (TEW),06. Drug offences,09374,1,1,
2017,3,London,Croydon,1. CT (TEW),07. Possession of weapons,00811,2,2,
2017,3,London,Croydon,1. CT (TEW),07. Possession of weapons,00826,9,9,
2017,3,London,Croydon,1. CT (TEW),07. Possession of weapons,00861,-1,-1,
2017,3,London,Croydon,1. CT (TEW),07. Possession of weapons,00864,1,1,
2017,3,London,Croydon,1. CT (TEW),07. Possession of weapons,08170,1,1,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,00855,3,2,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06500,2,2,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06601,1,1,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06608,1,1,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06639,4,4,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06691,2,2,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06698,1,1,
2017,3,London,Croydon,1. CT (TEW),08. Public order offences,06807,1,1,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,03801,2,2,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,03803,1,1,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,05401,1,1,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,05402,1,1,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,05911,2,2,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,07805,3,3,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,07902,3,3,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,08517,1,1,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,08602,7,7,
2017,3,London,Croydon,1. CT (TEW),09. Miscellaneous crimes against society,80200,4,4,
2017,3,London,Croydon,1. CT (TEW),10. Fraud Offences,05333,1,1,
2017,3,London,Croydon,1. CT (TEW),10. Fraud Offences,05340,6,6,
2017,3,London,Croydon,1. CT (TEW),10. Fraud Offences,05342,-1,-1,
2017,3,London,Croydon,1. CT (TEW),10. Fraud Offences,05354,1,1,
2017,3,London,Croydon,1. CT (TEW),11. Summary Non-Motoring,10501,1,1,
2017,3,London,Croydon,1. CT (TEW),11. Summary Non-Motoring,19571,1,1,
2017,3,London,Croydon,1. CT (TEW),11. Summary Non-Motoring,19607,1,1,
2017,3,London,Croydon,1. CT (TEW),15. Unknown,,12,12,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,00200,2,2,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,00411,1,1,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,00501,16,16,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,00514,1,1,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,00867,1,1,
2017,3,London,Croydon,2. ST (IND),01. Violence against the person,03603,3,3,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01626,1,1,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01907,2,2,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01908,6,6,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01911,1,1,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01916,1,1,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,01917,1,1,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,02003,1,1,
2017,3,London,Croydon,2. ST (IND),02. Sexual offences,02206,1,1,
2017,3,London,Croydon,2. ST (IND),03. Robbery,03401,10,9,
2017,3,London,Croydon,2. ST (IND),03. Robbery,03403,7,7,
2017,3,London,Croydon,2. ST (IND),04. Theft Offences,02802,1,1,
2017,3,London,Croydon,2. ST (IND),04. Theft Offences,02803,10,10,
2017,3,London,Croydon,2. ST (IND),04. Theft Offences,02900,4,4,
2017,3,London,Croydon,2. ST (IND),04. Theft Offences,03500,1,1,
2017,3,London,Croydon,2. ST (IND),04. Theft Offences,04600,1,1,
2017,3,London,Croydon,2. ST (IND),05. Criminal damage and arson,05700,2,2,
2017,3,London,Croydon,2. ST (IND),06. Drug offences,09203,1,1,
2017,3,London,Croydon,2. ST (IND),06. Drug offences,09230,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,00816,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,00823,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,00826,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,08104,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,08117,1,1,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,08170,2,2,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,08171,2,2,
2017,3,London,Croydon,2. ST (IND),07. Possession of weapons,09099,1,1,
2017,3,London,Croydon,2. ST (IND),09. Miscellaneous crimes against society,03801,1,1,
2017,3,London,Croydon,2. ST (IND),09. Miscellaneous crimes against society,03803,1,1,
2017,3,London,Croydon,2. ST (IND),09. Miscellaneous crimes against society,06138,1,1,
2017,3,London,Croydon,2. ST (IND),09. Miscellaneous crimes against society,07901,2,2,
2017,3,London,Croydon,2. ST (IND),09. Miscellaneous crimes against society,08000,1,1,
2017,3,London,Croydon,2. ST (IND),10. Fraud Offences,05304,1,1,
2017,3,London,Croydon,2. ST (IND),10. Fraud Offences,05340,3,3,
2017,3,London,Croydon,2. ST (IND),15. Unknown,,4,4,
2017,3,London,Croydon,3. CS (SENT),13. Committed for sentence,S0000,129,122,
2017,3,London,Croydon,4. A (APP),14. Appeals,A0000,88,88,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00301,3,2,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00408,1,1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00412,2,2,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00501,2,2,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00801,1,1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00806,7,6,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00820,1,1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00831,3,2,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00857,-1,-1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00860,1,1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00866,2,1,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00867,0,0,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,00872,2,2,
2017,3,London,Harrow,1. CT (TEW),01. Violence against the person,01103,1,1,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,01715,1,1,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,02005,2,2,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,02006,2,2,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,02102,1,1,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,02118,1,1,
2017,3,London,Harrow,1. CT (TEW),02. Sexual offences,02120,1,1,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,02803,8,7,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,03002,6,6,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,03702,-1,-1,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,03900,1,1,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,04100,0,0,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,04600,1,1,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,04801,0,0,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,04910,3,2,
2017,3,London,Harrow,1. CT (TEW),04. Theft Offences,05325,-1,-1,
2017,3,London,Harrow,1. CT (TEW),05. Criminal damage and arson,05800,0,0,
2017,3,London,Harrow,1. CT (TEW),05. Criminal damage and arson,05805,3,2,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09204,-1,-1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09221,4,4,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09230,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09231,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09233,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09241,3,3,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09250,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09261,2,2,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09270,9,9,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09271,3,2,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09273,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09274,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09281,7,7,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09313,1,1,
2017,3,London,Harrow,1. CT (TEW),06. Drug offences,09368,1,1,
2017,3,London,Harrow,1. CT (TEW),07. Possession of weapons,00811,4,4,
2017,3,London,Harrow,1. CT (TEW),07. Possession of weapons,00826,12,11,
2017,3,London,Harrow,1. CT (TEW),07. Possession of weapons,00864,0,0,
2017,3,London,Harrow,1. CT (TEW),07. Possession of weapons,08177,1,1,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,00855,3,3,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06500,2,2,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06601,2,2,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06638,1,1,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06639,1,1,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06691,1,0,
2017,3,London,Harrow,1. CT (TEW),08. Public order offences,06808,1,1,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,03801,2,2,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,03802,3,3,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,03803,6,5,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,05401,1,1,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,06125,1,1,
2017,3,London,Harrow,1. CT (TEW),09. Miscellaneous crimes against society,06138,2,2,
